Set Folder,File Name,Convergence,a,b,c,alpha,beta,gamma,Formula,Ga_count,N_count,Energy,Spacegroup
set_8,mp-30746-YIr-GaN_swapped_randomly_scaled,YES,2.721875399,5.506911186,2.721875399,90,90,90,Ga2N2,2,2,-18.260026,P 4/m m m
set_8,mp-432-NbRu-GaN_randomly_scaled,YES,2.719694387,2.719694387,5.502513238,90,90,90,Ga2N2,2,2,-18.24920397,P 4/m m m
set_8,mp-23903-HBr-GaN_swapped,YES,3.024416695,3.024416695,3.024416695,60,60,60,GaN,1,1,-11.36389637,F m -3 m
set_8,mp-2566-PuSb-GaN_randomly_scaled,YES,3.02369968,3.02369968,6.047495789,60.00052746,60.00052746,60,Ga2N2,2,2,-22.72015851,R -3 m
set_8,mp-23167-TlCl-GaN_randomly_scaled,YES,2.736574794,2.736574794,5.472989181,90,90,90,Ga2N2,2,2,-18.1358774,P 4/m m m
set_8,mp-30365-BeAu-GaN,YES,4.278742457,4.278742457,4.278742457,90,90,90,Ga4N4,4,4,-45.44312149,P 21 3
set_8,mp-2624-AlSb-GaN,YES,3.244842202,3.244839944,3.244842202,60,60,60,GaN,1,1,-12.16750574,F -4 3 m
set_8,mp-23167-TlCl-GaN_swapped_randomly_scaled,YES,2.736660506,5.473214811,2.736660506,90,90,90,Ga2N2,2,2,-18.1367217,P 4/m m m
set_8,mp-2644-CoSb-GaN_swapped,YES,3.003796313,3.003796313,5.269079376,90,90,120,Ga2N2,2,2,-21.1890661,P 63/m m c
set_8,mp-232-DyRh-GaN,YES,2.736661943,2.736661943,2.736661943,90,90,90,GaN,1,1,-9.13018358,P m -3 m
set_8,mp-305-TiFe-GaN_swapped_randomly_scaled,YES,2.733846536,5.467228273,2.733846536,90,90,90,Ga2N2,2,2,-18.15334638,P 4/m m m
set_8,mp-27844-NiP-GaN_swapped,YES,5.522327808,5.648665146,6.473888492,90,90,90,Ga8N8,8,8,-96.41746914,P b c a
set_8,mp-437-MgAu-GaN,YES,2.736309677,2.736309677,2.736309677,90,90,90,GaN,1,1,-9.12803226,P m -3 m
set_8,mp-2468-ErHg-GaN,YES,2.735638137,2.735638137,2.735638137,90,90,90,GaN,1,1,-9.0681524,P m -3 m
set_8,mp-2334-DyCu-GaN_swapped,YES,2.736851581,2.736851581,2.736851581,90,90,90,GaN,1,1,-9.13056093,P m -3 m
set_8,mp-2516-YZn-GaN_swapped,YES,2.736392035,2.736392035,2.736392035,90,90,90,GaN,1,1,-9.06790035,P m -3 m
set_8,mp-2861-CaTl-GaN,YES,2.735983605,2.735983605,2.735983605,90,90,90,GaN,1,1,-9.06840308,P m -3 m
set_8,mp-2857-ScN-GaN_swapped,YES,3.025687204,3.025687204,3.025687204,60,60,60,GaN,1,1,-11.35774472,F m -3 m
set_8,mp-23903-HBr-GaN_swapped_randomly_scaled,YES,3.024225577,6.04843665,3.024225577,59.99992068,60,59.99992068,Ga2N2,2,2,-22.72782386,R -3 m
set_8,mp-2362466-GaAs-GaN,YES,3.150820162,3.150816183,3.150131322,98.57127586,115.2638135,115.1063782,GaN,1,1,-11.90990636,C m
set_8,mp-2497-GdZn-GaN_randomly_scaled,YES,2.732955864,2.732955864,5.465869254,90,90,90,Ga2N2,2,2,-18.13581911,P 4/m m m
set_8,mp-2701-NbN-GaN_swapped,YES,2.99941866,2.99941866,5.265256268,90,90,120,Ga2N2,2,2,-21.17989131,P 63/m m c
set_8,mp-2612-GeTe-GaN,YES,3.026199455,3.026199455,3.026199455,60,60,60,GaN,1,1,-11.36836039,F m -3 m
set_8,mp-257-DyIn-GaN_randomly_scaled,YES,2.73618101,5.472783717,2.73618101,90,90,90,Ga2N2,2,2,-18.13651121,P 4/m m m
set_8,mp-23268-NaI-GaN,YES,3.024211966,3.024211966,3.024211966,60,60,60,GaN,1,1,-11.36029184,F m -3 m
set_8,mp-2597-InTe-GaN_swapped_randomly_scaled,YES,3.02378103,6.047629307,3.02378103,60.00036783,60,60.00036783,Ga2N2,2,2,-22.71999051,R -3 m
set_8,mp-2423-US-GaN_randomly_scaled,YES,6.054946048,3.025142194,3.025142194,60,60.02546458,60.02546458,Ga2N2,2,2,-22.74094839,R -3 m
set_8,mp-2469-CdS-GaN,YES,3.244775516,3.244775516,3.244775516,60,60,60,GaN,1,1,-12.17037114,F -4 3 m
set_8,mp-23703-LiH-GaN_randomly_scaled,YES,3.024907604,6.04979263,3.024907604,59.99987654,60,59.99987654,Ga2N2,2,2,-22.69812741,R -3 m
set_8,mp-2489-UC-GaN_randomly_scaled,YES,3.023916761,3.023916761,6.047812778,59.99988653,59.99988653,60,Ga2N2,2,2,-22.72946515,R -3 m
set_8,mp-2490-GaP-GaN_swapped,YES,3.23985439,3.23985439,3.23985439,60,60,60,GaN,1,1,-12.16663143,F -4 3 m
set_8,mp-2362466-GaAs-GaN_swapped,YES,3.150827088,3.150823109,3.150130905,98.56914465,115.2644258,115.1081785,GaN,1,1,-11.90990795,C m
set_8,mp-30379-GaAu-GaN,YES,3.008564536,5.107680407,5.205336476,90,90,90,Ga4N4,4,4,-44.40066103,P n m a
set_8,mp-2394167-VN-GaN_swapped,YES,3.023859332,3.023859648,4.284472982,89.99915236,90,90,Ga2N2,2,2,-22.70651602,P 21/m
set_8,mp-2615-LaZn-GaN_swapped_randomly_scaled,YES,5.472851676,2.736672988,2.736672988,90,90,90,Ga2N2,2,2,-18.1365296,P 4/m m m
set_8,mp-2563-CeSe-GaN_swapped_randomly_scaled,YES,6.04632403,3.026359354,3.026359354,60,59.96500823,59.96500823,Ga2N2,2,2,-22.74186179,R -3 m
set_8,mp-30500-TiCd-GaN,YES,3.01845972,3.01845972,4.288972017,90,90,90,Ga2N2,2,2,-22.72407355,P 4/n m m
set_8,mp-345-HfB-GaN_swapped,YES,3.024929236,3.024929236,3.024929236,60,60,60,GaN,1,1,-11.36276345,F m -3 m
set_8,mp-2678-VPt-GaN_swapped,YES,3.922159197,3.922159197,2.651631743,90,90,90,Ga2N2,2,2,-18.18086534,P 4/m m m
set_8,mp-2360-CaGe-GaN,YES,3.024739979,3.025136313,4.274731469,90.11402181,90,90,Ga2N2,2,2,-22.72588203,P 21/m
set_8,mp-2853-GaN-GaN,YES,3.024314627,3.024314627,3.024314627,60,60,60,GaN,1,1,-11.35528676,F m -3 m
set_8,mp-256-LaN-GaN_swapped_randomly_scaled,YES,3.022300097,6.053519172,3.022300097,60.04872621,60,60.04872621,Ga2N2,2,2,-22.7377835,R -3 m
set_8,mp-2444-GaRh-GaN_swapped,YES,2.73446929,2.73446929,2.73446929,90,90,90,GaN,1,1,-9.11978758,P m -3 m
set_8,mp-251-TaN-GaN,YES,3.024730315,3.024730315,3.024730315,60,60,60,GaN,1,1,-11.35666989,F m -3 m
set_8,mp-2636-GdMg-GaN_swapped,YES,2.735867511,2.735867511,2.735867511,90,90,90,GaN,1,1,-9.06835726,P m -3 m
set_8,mp-2490-GaP-GaN_swapped_randomly_scaled,YES,3.244184115,3.244184115,6.487804418,59.99712522,59.99712522,60,Ga2N2,2,2,-24.33461766,R 3 m
set_8,mp-451-ZrB-GaN_swapped,YES,3.024263407,3.024263407,3.024263407,60,60,60,GaN,1,1,-11.36433814,F m -3 m
set_8,mp-2415538-MgZn-GaN_randomly_scaled,YES,5.191951196,5.191951196,5.937718887,90,90,122.8166856,Ga6N6,6,6,-69.17187617,A m m 2
set_8,mp-2369-SnPd-GaN_swapped,YES,3.318631009,6.093892631,5.479249219,90,90,90,Ga4N4,4,4,-47.57978719,P n m a
set_8,mp-351-SiNi-GaN_randomly_scaled,YES,6.014923203,5.107859418,5.220914448,90,90,90,Ga8N8,8,8,-88.72612761,P n m a
set_8,mp-30483-CaZn-GaN_swapped_randomly_scaled,YES,3.203262369,12.17291865,3.290515685,90,119.1266444,90,Ga4N4,4,4,-44.32068143,C m c m
set_8,mp-24084-KH-GaN_swapped_randomly_scaled,YES,3.024270578,3.024270578,6.050884365,60.01280932,60.01280932,60,Ga2N2,2,2,-22.74127697,R -3 m
set_8,mp-2541-SmTl-GaN_swapped,YES,2.801170157,3.8354422,3.8354422,90,90,90,Ga2N2,2,2,-18.14058627,P 4/m m m
set_8,mp-442-RhPb-GaN_swapped,YES,5.303447272,5.303447272,2.905002697,90,90,120,Ga3N3,3,3,-29.04533869,P 6/m m m
set_8,mp-24721-RbH-GaN_swapped,YES,3.026198349,3.026198349,3.026198349,60,60,60,GaN,1,1,-11.36835967,F m -3 m
set_8,mp-2468-ErHg-GaN_randomly_scaled,YES,2.736491466,2.736491466,5.471891111,90,90,90,Ga2N2,2,2,-18.13630523,P 4/m m m
set_8,mp-2394167-VN-GaN,YES,3.024257212,3.024257389,4.283079427,89.99941287,90,90,Ga2N2,2,2,-22.70655269,P 21/m
set_8,mp-345-HfB-GaN,YES,3.024929102,3.024929102,3.024929102,60,60,60,GaN,1,1,-11.36276346,F m -3 m
set_8,mp-2558-SmMg-GaN_swapped,YES,2.735696187,2.735696187,2.735696187,90,90,90,GaN,1,1,-9.06838542,P m -3 m
